UniqueID;CICLO;ANIO;SEMESTRE;EDAD;SEXO;PROVINCIA;TIPOCOLEGIO;COLEEXC;COLPRE;COLPRIV;EXADMISION;ESCALA;MODALIDAD;DISTRITO;PROVINCIA;DEPARTAMENTO;DISTANCIA;FILOSOFIA;ACTIVIDADES;LENGUAJE;REALIDADNACIONAL;METODOSDEESTUDIO;INTRODUCCIONINGENIERIA;GEOMETRIAANALITICA;MATEMATICADISCRETA;APROBADO
1;20101;2010;1;17;1;1;ESTATAL;0;0;0;0.182;13;CONCURSO ORDINARIO DE ADMISION;PISCO;PISCO;ICA;11;13;13;12;12;12;11;11;12;1
2;20101;2010;1;16;1;1;ESTATAL;0;0;0;0.13;13;CONCURSO ORDINARIO DE ADMISION;MIRAFLORES;LIMA;LIMA;9.555;5;4;5;9;3;5;3;4;0
3;20101;2010;1;18;1;0;PRE-UNIVERSITARIO;0;1;1;0.415;13;CONCURSO ORDINARIO DE ADMISION;VILLA MARIA DEL TRIUNFO;LIMA;LIMA;13.186;13;15;12;11;12;11;16;14;1
5;20101;2010;1;18;1;0;PRIVADO;0;0;1;0.264;15;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;9.497;12;11;12;13;15;12;15;16;1
6;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.3;13;CONCURSO ORDINARIO DE ADMISION;LINCE;LIMA;LIMA;14.33;14;11;11;12;11;10;7;10;0
7;20101;2010;1;16;1;0;PRE-UNIVERSITARIO;1;1;1;0.315;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;3.432;12;14;7;12;8;8;6;6;0
8;20101;2010;1;18;1;0;PRE-UNIVERSITARIO;1;1;1;0.407;15;CONCURSO ORDINARIO DE ADMISION;VILLA EL SALVADOR;LIMA;LIMA;16.049;7;0;10;6;5;2;7;7;0
9;20101;2010;1;22;1;0;PRIVADO;0;0;1;0.413;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;13.553;15;16;11;14;14;13;11;11;1
10;20101;2010;1;17;1;1;ESTATAL;0;0;0;0.376;15;CONCURSO ORDINARIO DE ADMISION;SANTA ANITA;LIMA;LIMA;4.245;16;14;15;14;14;13;14;15;1
11;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.264;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;9.685;11;14;11;10;9;11;5;6;0
12;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.167;14;CONCURSO ORDINARIO DE ADMISION;CIENEGUILLA;LIMA;LIMA;7.481;13;17;12;15;15;12;2;5;0
13;20101;2010;1;17;1;1;PRIVADO;0;0;1;0.253;14;CONCURSO ORDINARIO DE ADMISION;CHANCAY;HUARAL;LIMA;11;15;14;15;13;13;12;11;13;1
14;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.324;15;CONCURSO ORDINARIO DE ADMISION;CALLAO;CALLAO;CALLAO;20;14;11;13;11;13;12;10;12;0
15;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.31;14;CONCURSO ORDINARIO DE ADMISION;INDEPENDENCIA;LIMA;LIMA;16.909;8;11;0;11;13;11;7;11;0
16;20101;2010;1;17;1;0;PRIVADO;0;0;1;0.193;15;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;1.222;14;9;6;10;10;11;2;5;0
17;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;1;1;1;0.288;15;CONCURSO ORDINARIO DE ADMISION;VILLA EL SALVADOR;LIMA;LIMA;16.354;13;12;11;10;11;9;10;11;0
18;20101;2010;1;16;1;0;PRIVADO RELIGIOSO;0;0;1;0.329;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;8.721;5;6;5;8;7;6;2;6;0
19;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.081;12;CONCURSO ORDINARIO DE ADMISION;COMAS;LIMA;LIMA;18.137;13;14;13;13;11;11;2;6;0
20;20101;2010;1;26;1;0;PRIVADO;0;0;1;0.559;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE MIRAFLORES;LIMA;LIMA;10.44;18;17;13;16;15;16;19;17;1
